#,Name,Pos,Age,Ovr,Pot,Contract,Exp,PER,EWA,Draft
1,LeBron James,GF,20,67,81,35,2008,0,0,Draftand sim
2,Tracy McGrady,GF,25,75,78,43,2006,0,0,Draftand sim
3,Carmelo Anthony,F,20,65,81,24,2008,0,0,Draftand sim
4,Peja Stojaković,SF,27,75,75,26,2008,0,0,Draftand sim
5,Baron Davis,PG,25,69,73,17,2007,0,0,Draftand sim
6,Kobe Bryant,GF,26,70,71,15,2008,0,0,Draftand sim
7,Kevin Garnett,FC,28,73,76,18,2008,0,0,Draftand sim
8,Jamal Crawford,G,24,68,72,17,2007,0,0,Draftand sim
9,Dirk Nowitzki,FC,26,69,71,15,2008,0,0,Draftand sim
10,Mike Bibby,PG,26,69,71,13,2008,0,0,Draftand sim
11,Chris Bosh,FC,20,57,75,9,2008,0,0,Draftand sim
12,Shawn Marion,F,26,68,72,13,2008,0,0,Draftand sim
13,Metta World Peace,SF,25,68,70,17,2006,0,0,Draftand sim
14,Richard Jefferson,SF,24,66,71,13,2007,0,0,Draftand sim
15,Tim Duncan,FC,28,71,71,14,2008,0,0,Draftand sim
16,Nenê ,FC,22,62,72,10,2008,0,0,Draftand sim
17,Paul Pierce,GF,27,69,71,12,2008,0,0,Draftand sim
18,Stephon Marbury,PG,27,69,70,11,2008,0,0,Draftand sim
19,Joe Johnson,GF,23,63,71,10,2008,0,0,Draftand sim
20,Stephen Jackson,GF,26,67,69,10,2008,0,0,Draftand sim
21,Michael Redd,GF,25,66,69,14,2006,0,0,Draftand sim
22,Jason Richardson,GF,23,63,70,10,2007,0,0,Draftand sim
23,Steve Nash,PG,30,71,71,11,2008,0,0,Draftand sim
24,Tony Parker,PG,22,60,71,8,2008,0,0,Draftand sim
25,Rashard Lewis,F,25,66,67,14,2006,0,0,Draftand sim
26,Elton Brand,FC,25,65,69,10,2007,0,0,Draftand sim
27,Gilbert Arenas,PG,22,60,70,9,2008,0,0,Draftand sim
28,Corey Maggette,GF,25,65,67,11,2006,0,0,Draftand sim
29,Manu Ginóbili,SG,27,66,67,8,2008,0,0,Draftand sim
30,Lamar Odom,F,25,64,66,11,2006,0,0,Draftand sim
31,Dwyane Wade,G,22,59,68,8,2008,0,0,Draftand sim
32,Vladimir Radmanović,F,24,63,66,10,2006,0,0,Draftand sim
33,Andre Miller,G,28,67,67,8,2008,0,0,Draftand sim
34,Jermaine O'Neal,FC,26,64,65,9,2006,0,0,Draftand sim
35,Richard Hamilton,GF,26,64,65,9,2006,0,0,Draftand sim
36,Amar'e Stoudemire,FC,22,58,68,6,2008,0,0,Draftand sim
37,Ricky Davis,GF,25,63,66,8,2006,0,0,Draftand sim
38,Larry Hughes,GF,25,63,66,8,2006,0,0,Draftand sim
39,Zach Randolph,FC,23,60,67,7,2007,0,0,Draftand sim
40,Carlos Boozer,FC,23,60,67,7,2007,0,0,Draftand sim
41,Pau Gasol,FC,24,62,66,8,2007,0,0,Draftand sim
42,Mike Dunleavy,GF,24,62,66,7,2007,0,0,Draftand sim
43,Marquis Daniels,GF,23,61,66,7,2007,0,0,Draftand sim
44,Ray Allen,SG,29,67,67,7,2008,0,0,Draftand sim
45,James Posey,GF,27,65,65,10,2006,0,0,Draftand sim
46,Kwame Brown,FC,22,58,67,6,2008,0,0,Draftand sim
47,Kirk Hinrich,G,23,60,66,6,2007,0,0,Draftand sim
48,Chauncey Billups,G,28,66,67,8,2008,0,0,Draftand sim
49,Quentin Richardson,GF,24,61,65,6,2007,0,0,Draftand sim
50,Mike Miller,GF,24,61,65,7,2007,0,0,Draftand sim
51,Jiří Welsch,GF,24,60,66,6,2007,0,0,Draftand sim
52,Vince Carter,GF,27,64,64,9,2006,0,0,Draftand sim
53,Jason Kidd,G,31,67,67,9,2006,0,0,Draftand sim
54,Maciej Lampe,C,19,42,71,2,2008,0,0,Draftand sim
55,Yao Ming,C,24,60,65,6,2007,0,0,Draftand sim
56,Steve Francis,G,27,63,66,8,2006,0,0,Draftand sim
57,Jason Terry,G,27,63,63,8,2006,0,0,Draftand sim
58,Michael Finley,GF,31,66,66,8,2006,0,0,Draftand sim
59,Ronald Murray,G,25,61,63,6,2006,0,0,Draftand sim
60,Hedo Türkoğlu,F,25,61,63,7,2006,0,0,Draftand sim
61,Brad Miller,FC,28,64,64,8,2006,0,0,Draftand sim
62,Ben Wallace,FC,30,65,65,8,2006,0,0,Draftand sim
63,Tayshaun Prince,SF,24,59,64,5,2007,0,0,Draftand sim
64,Sam Cassell,PG,35,66,66,9,2005,0,0,Draftand sim
65,Allen Iverson,G,29,64,64,7,2006,0,0,Draftand sim
66,Brian Cardinal,F,27,62,64,6,2006,0,0,Draftand sim
67,Zaza Pachulia,C,20,47,68,2,2008,0,0,Draftand sim
68,Shareef Abdur-Rahim,FC,28,63,64,7,2006,0,0,Draftand sim
69,Kerry Kittles,SG,30,64,64,6,2006,0,0,Draftand sim
70,Marko Jarić,GF,26,60,62,6,2006,0,0,Draftand sim
71,Shane Battier,GF,26,60,62,6,2006,0,0,Draftand sim
72,Eddy Curry,FC,22,54,64,3,2008,0,0,Draftand sim
73,Eddie Jones,GF,33,64,64,7,2006,0,0,Draftand sim
74,Kenyon Martin,FC,27,61,62,6,2006,0,0,Draftand sim
75,Tim Thomas,F,27,61,61,5,2006,0,0,Draftand sim
76,Darius Miles,SF,23,57,62,5,2007,0,0,Draftand sim
77,Mehmet Okur,FC,25,58,63,4,2007,0,0,Draftand sim
78,Jamaal Magloire,C,26,59,62,5,2006,0,0,Draftand sim
79,Juan Dixon,G,26,59,62,4,2006,0,0,Draftand sim
80,Luke Ridnour,G,23,55,63,3,2008,0,0,Draftand sim
81,Leandro Barbosa,G,22,54,63,3,2008,0,0,Draftand sim
82,Speedy Claxton,PG,26,59,61,4,2006,0,0,Draftand sim
83,Caron Butler,GF,24,57,62,4,2007,0,0,Draftand sim
84,Al Harrington,FC,24,57,62,4,2007,0,0,Draftand sim
85,Darko Miličić,FC,19,41,67,2,2008,0,0,Draftand sim
86,Mickaël Piétrus,GF,22,52,64,3,2008,0,0,Draftand sim
87,Jason Williams,PG,29,62,62,6,2006,0,0,Draftand sim
88,Cuttino Mobley,G,29,62,62,6,2006,0,0,Draftand sim
89,Antonio Daniels,G,29,62,62,6,2006,0,0,Draftand sim
90,Shaquille O'Neal,C,32,63,63,6,2006,0,0,Draftand sim
91,Donyell Marshall,F,31,63,63,5,2006,0,0,Draftand sim
92,Jarvis Hayes,GF,23,55,62,3,2007,0,0,Draftand sim
93,Eddie Griffin,FC,22,54,62,3,2008,0,0,Draftand sim
94,Tyson Chandler,FC,22,51,64,2,2008,0,0,Draftand sim
95,Desmond Mason,GF,27,60,60,5,2006,0,0,Draftand sim
96,Drew Gooden,FC,23,56,61,4,2007,0,0,Draftand sim
97,Josh Howard,SF,24,56,62,4,2007,0,0,Draftand sim
98,Rodney White,GF,24,56,62,3,2007,0,0,Draftand sim
99,Rafer Alston,PG,28,61,61,6,2006,0,0,Draftand sim
100,Rasheed Wallace,FC,30,62,62,5,2006,0,0,Draftand sim
101,Derek Anderson,GF,30,62,62,6,2006,0,0,Draftand sim
102,John Salmons,GF,25,58,59,4,2006,0,0,Draftand sim
103,Zydrunas Ilgauskas,C,29,61,61,5,2006,0,0,Draftand sim
104,Keith Van Horn,F,29,61,61,5,2006,0,0,Draftand sim
105,Damon Stoudamire,PG,31,62,62,5,2006,0,0,Draftand sim
106,Stromile Swift,FC,25,57,60,4,2006,0,0,Draftand sim
107,DeShawn Stevenson,GF,23,54,61,3,2007,0,0,Draftand sim
108,Chris Wilcox,FC,22,50,63,2,2008,0,0,Draftand sim
109,Antawn Jamison,F,28,60,60,5,2006,0,0,Draftand sim
110,Doug Christie,GF,34,62,62,5,2005,0,0,Draftand sim
111,Etan Thomas,FC,26,57,60,4,2005,0,0,Draftand sim
112,Jared Jeffries,F,23,53,61,2,2008,0,0,Draftand sim
113,Marcus Banks,PG,23,54,60,3,2007,0,0,Draftand sim
114,Casey Jacobsen,GF,23,54,60,3,2007,0,0,Draftand sim
115,Steve Blake,PG,24,55,60,3,2007,0,0,Draftand sim
116,T.J. Ford,PG,21,47,64,2,2008,0,0,Draftand sim
117,Sasha Pavlović,GF,21,47,64,2,2008,0,0,Draftand sim
118,Earl Watson,PG,25,56,60,2,2007,0,0,Draftand sim
119,Mike James,PG,29,60,60,4,2006,0,0,Draftand sim
120,Chris Webber,FC,31,61,61,5,2005,0,0,Draftand sim
121,Brent Barry,GF,33,61,61,6,2005,0,0,Draftand sim
122,Travis Outlaw,F,20,42,65,2,2008,0,0,Draftand sim
123,Carlos Arroyo,G,25,56,59,3,2006,0,0,Draftand sim
124,Morris Peterson,GF,27,58,60,4,2006,0,0,Draftand sim
125,Gordan Giriček,GF,27,58,60,4,2006,0,0,Draftand sim
126,Kenny Thomas,PF,27,58,59,4,2006,0,0,Draftand sim
127,Samuel Dalembert,C,23,53,60,2,2007,0,0,Draftand sim
128,Antoine Walker,PF,28,59,59,4,2006,0,0,Draftand sim
129,Gary Payton,PG,36,61,61,5,2005,0,0,Draftand sim
130,Toni Kukoč,F,36,61,61,5,2005,0,0,Draftand sim
131,Latrell Sprewell,GF,34,61,61,5,2005,0,0,Draftand sim
132,Jamaal Tinsley,PG,26,56,58,4,2005,0,0,Draftand sim
133,Jason Collins,FC,26,56,58,4,2005,0,0,Draftand sim
134,Joe Smith,FC,29,59,59,3,2006,0,0,Draftand sim
135,Erick Dampier,C,29,59,59,4,2006,0,0,Draftand sim
136,Udonis Haslem,FC,24,53,60,2,2007,0,0,Draftand sim
137,Keyon Dooling,G,24,53,60,2,2007,0,0,Draftand sim
138,Grant Hill,GF,32,60,60,5,2005,0,0,Draftand sim
139,Jason Kapono,GF,23,50,61,1,2008,0,0,Draftand sim
140,Ndudi Ebi,GF,20,41,64,1,2008,0,0,Draftand sim
141,Jeff Foster,C,27,57,59,4,2005,0,0,Draftand sim
142,Brendan Haywood,C,25,55,58,3,2006,0,0,Draftand sim
143,Fred Jones,GF,25,55,58,3,2006,0,0,Draftand sim
144,Zoran Planinić,G,22,48,61,2,2008,0,0,Draftand sim
145,Keith Bogans,GF,24,53,59,2,2007,0,0,Draftand sim
146,Jeff McInnis,G,30,59,59,4,2006,0,0,Draftand sim
147,Walter McCarty,F,30,59,59,4,2006,0,0,Draftand sim
148,Earl Boykins,G,28,58,59,3,2006,0,0,Draftand sim
149,Damon Jones,G,28,58,58,3,2006,0,0,Draftand sim
150,Troy Murphy,PF,24,52,60,2,2007,0,0,Draftand sim
151,Boris Diaw,GF,22,49,60,2,2008,0,0,Draftand sim
152,Kedrick Brown,SF,23,52,58,2,2007,0,0,Draftand sim
153,Eddie House,G,26,55,57,3,2005,0,0,Draftand sim
154,Juwan Howard,FC,31,59,59,4,2005,0,0,Draftand sim
155,Jalen Rose,GF,31,59,59,4,2005,0,0,Draftand sim
156,Eric Williams,GF,32,59,59,4,2005,0,0,Draftand sim
157,Frank Williams,G,24,52,59,2,2007,0,0,Draftand sim
158,Nazr Mohammed,C,27,56,57,3,2005,0,0,Draftand sim
159,Devean George,SF,27,56,57,3,2005,0,0,Draftand sim
160,Luke Walton,F,24,53,57,2,2007,0,0,Draftand sim
161,Derek Fisher,G,30,58,58,3,2006,0,0,Draftand sim
162,Kyle Korver,GF,23,52,57,2,2007,0,0,Draftand sim
163,Vlade Divac,C,36,59,59,3,2005,0,0,Draftand sim
164,Kareem Rush,G,24,51,59,2,2007,0,0,Draftand sim
165,Dion Glover,SG,26,54,57,3,2005,0,0,Draftand sim
166,Dan Gadzuric,FC,26,54,57,2,2005,0,0,Draftand sim
167,Bobby Simmons,GF,24,53,56,2,2006,0,0,Draftand sim
168,Allan Houston,SG,33,58,58,3,2005,0,0,Draftand sim
169,Bob Sura,G,31,58,58,3,2005,0,0,Draftand sim
170,Eric Snow,G,31,58,58,3,2005,0,0,Draftand sim
171,Jerome Williams,F,31,58,58,3,2005,0,0,Draftand sim
172,Aaron McKie,GF,32,58,58,3,2005,0,0,Draftand sim
173,Chris Crawford,PF,29,57,57,3,2005,0,0,Draftand sim
174,Mark Blount,C,29,57,57,4,2005,0,0,Draftand sim
175,Chris Mihm,FC,25,53,57,2,2007,0,0,Draftand sim
176,David West,FC,24,51,58,2,2007,0,0,Draftand sim
177,Kendrick Perkins,C,20,41,61,2,2008,0,0,Draftand sim
178,Smush Parker,PG,23,49,58,1,2008,0,0,Draftand sim
179,Ronald Dupree,SF,23,49,58,1,2008,0,0,Draftand sim
180,Tyronn Lue,PG,27,55,55,3,2005,0,0,Draftand sim
181,Darrell Armstrong,PG,36,58,58,3,2005,0,0,Draftand sim
182,Jim Jackson,GF,34,58,58,3,2005,0,0,Draftand sim
183,Alvin Williams,G,30,57,57,3,2005,0,0,Draftand sim
184,Slavko Vraneš,C,21,43,61,1,2008,0,0,Draftand sim
185,Mike Sweetney,FC,22,47,58,1,2008,0,0,Draftand sim
186,Stanislav Medvedenko,FC,25,52,57,1,2007,0,0,Draftand sim
187,Mo Williams,G,22,45,59,1,2008,0,0,Draftand sim
188,Bobby Jackson,G,31,57,57,3,2005,0,0,Draftand sim
189,Voshon Lenard,SG,31,57,57,3,2005,0,0,Draftand sim
190,Anfernee Hardaway,GF,33,57,57,3,2005,0,0,Draftand sim
